MOTIF TF Family
SOX21_1 SOX21 SOX
SOX21_2 SOX21 SOX
SOX21_3 SOX21 SOX
SOX21_4 SOX21 SOX
SOX21_5 SOX21 SOX
SOX3_1 SOX3 SOX
SOX3_2 SOX3 SOX
SOX3_3 SOX3 SOX
SOX30_1 SOX30 SOX
SOX4_1 SOX4 SOX
SOX4_2 SOX4 SOX
SOX5_1 SOX5 SOX
SOX5_2 SOX5 SOX
SOX5_3 SOX5 SOX
SOX7_1 SOX7 SOX
SOX7_2 SOX7 SOX
SOX7_3 SOX7 SOX
SOX7_4 SOX7 SOX
SOX8_1 SOX8 SOX
SOX8_2 SOX8 SOX
SOX8_3 SOX8 SOX
SOX8_4 SOX8 SOX
SOX8_5 SOX8 SOX
SOX8_6 SOX8 SOX
SOX8_7 SOX8 SOX
SOX8_8 SOX8 SOX
SOX8_9 SOX8 SOX
SOX9_1 SOX9 SOX
SOX9_2 SOX9 SOX
SOX9_3 SOX9 SOX
SOX9_4 SOX9 SOX
SOX9_5 SOX9 SOX
SOX9_6 SOX9 SOX
SOX9_7 SOX9 SOX
SOX9_8 SOX9 SOX
SOX9_9 SOX9 SOX
SP1_1 SP1 SP
SP1_2 SP1 SP
SP1_3 SP1 SP
SP1_4 SP1 SP
SP1_5 SP1 SP
SP1_6 SP1 SP
SP1_7 SP1 SP
SP1_disc1 SP1 SP
SP1_disc2 SP1 SP
SP1_disc3 SP1 SP
SP100_1 SP100 SP
SP2_disc1 SP2 SP
SP2_disc2 SP2 SP
SP2_disc3 SP2 SP
SP3_1 SP3 SP
SP3_2 SP3 SP
SP4_1 SP4 SP
SP4_2 SP4 SP
SP8_1 SP8 SP
SPDEF_1 SPDEF SPDEF
SPDEF_2 SPDEF SPDEF
SPDEF_3 SPDEF SPDEF
SPDEF_4 SPDEF SPDEF
SPDEF_5 SPDEF SPDEF
SPDEF_6 SPDEF SPDEF
SPDEF_7 SPDEF SPDEF
SPI1_1 SPI1 SPI
SPI1_2 SPI1 SPI
SPI1_3 SPI1 SPI
SPI1_4 SPI1 SPI
SPI1_disc1 SPI1 SPI
SPI1_disc2 SPI1 SPI
SPI1_disc3 SPI1 SPI
SPIB_1 SPIB SPI
SPIB_2 SPIB SPI
SPIC_1 SPIC SPI
SPIC_2 SPIC SPI
SPZ1_1 SPZ1 SPZ1
SPZ1_2 SPZ1 SPZ1
SREBF_1 SREBF SREBF
SREBF1_1 SREBF1 SREBF
SREBF1_2 SREBF1 SREBF
SREBF1_3 SREBF1 SREBF
SREBF1_4 SREBF1 SREBF
SREBF2_1 SREBF2 SREBF
SREBP_disc1 SREBP SREBP
SRF_1 SRF SRF
SRF_10 SRF SRF
SRF_2 SRF SRF
SRF_3 SRF SRF
SRF_4 SRF SRF
SRF_5 SRF SRF
SRF_6 SRF SRF
SRF_7 SRF SRF
SRF_8 SRF SRF
SRF_9 SRF SRF
SRF_disc1 SRF SRF
SRF_disc2 SRF SRF
SRY_1 SRY SRY
SRY_2 SRY SRY
SRY_3 SRY SRY
SRY_4 SRY SRY
SRY_5 SRY SRY
SRY_6 SRY SRY
SRY_7 SRY SRY
SRY_8 SRY SRY
STAT_1 STAT STAT
STAT_2 STAT STAT
STAT_disc1 STAT STAT
STAT_disc2 STAT STAT
STAT_disc3 STAT STAT
STAT_disc4 STAT STAT
STAT_disc5 STAT STAT
STAT_disc6 STAT STAT
STAT_disc7 STAT STAT
STAT1_1 STAT1 STAT
STAT1_2 STAT1 STAT
STAT1_3 STAT1 STAT
STAT1_4 STAT1 STAT
STAT3_1 STAT3 STAT
STAT3_2 STAT3 STAT
STAT3_3 STAT3 STAT
STAT4_1 STAT4 STAT
STAT5A_1 STAT5A STAT
STAT5A_2 STAT5A STAT
STAT5A_3 STAT5A STAT
STAT5A_4 STAT5A STAT
STAT5B_1 STAT5B STAT
STAT6_1 STAT6 STAT
STAT6_2 STAT6 STAT
T_1 T T
T_2 T T
T_3 T T
TAL1_1 TAL1 TAL
TAL1_2 TAL1 TAL
TAL1_3 TAL1 TAL
TAL1_4 TAL1 TAL
TAL1_5 TAL1 TAL
TAL1_disc1 TAL1 TAL
TAL1_disc2 TAL1 TAL
TATA_disc1 TATA TATA
TATA_disc10 TATA TATA
TATA_disc2 TATA TATA
TATA_disc3 TATA TATA
TATA_disc4 TATA TATA
TATA_disc5 TATA TATA
TATA_disc6 TATA TATA
TATA_disc7 TATA TATA
TATA_disc8 TATA TATA
TATA_disc9 TATA TATA
TBP_1 TBP TBP
TBP_2 TBP TBP
TBP_3 TBP TBP
TBP_4 TBP TBP
TBP_5 TBP TBP
TBP_6 TBP TBP
TBR1_1 TBR1 TBR
TBR1_2 TBR1 TBR
TBX1_1 TBX1 TBX
TBX1_2 TBX1 TBX
TBX1_3 TBX1 TBX
TBX1_4 TBX1 TBX
TBX15_1 TBX15 TBX
TBX15_2 TBX15 TBX
TBX19_1 TBX19 TBX
TBX2_1 TBX2 TBX
TBX2_2 TBX2 TBX
TBX20_1 TBX20 TBX
TBX20_2 TBX20 TBX
TBX20_3 TBX20 TBX
TBX20_4 TBX20 TBX
TBX20_5 TBX20 TBX
TBX21_1 TBX21 TBX
TBX21_2 TBX21 TBX
TBX21_3 TBX21 TBX
TBX21_4 TBX21 TBX
TBX21_5 TBX21 TBX
TBX21_6 TBX21 TBX
TBX4_1 TBX4 TBX
TBX4_2 TBX4 TBX
TBX5_1 TBX5 TBX
TBX5_2 TBX5 TBX
TBX5_3 TBX5 TBX
TBX5_4 TBX5 TBX
TBX5_5 TBX5 TBX
TCF12_1 TCF12 TCF
TCF12_disc1 TCF12 TCF
TCF12_disc2 TCF12 TCF
TCF12_disc3 TCF12 TCF
TCF12_disc4 TCF12 TCF
TCF12_disc5 TCF12 TCF
TCF12_disc6 TCF12 TCF
TCF21_1 TCF21 TCF
TCF3_1 TCF3 TCF
TCF3_2 TCF3 TCF
TCF3_3 TCF3 TCF
TCF3_4 TCF3 TCF
TCF3_5 TCF3 TCF
TCF3_6 TCF3 TCF
TCF3_7 TCF3 TCF
TCF4_1 TCF4 TCF
TCF4_2 TCF4 TCF
TCF7_1 TCF7 TCF
TCF7_2 TCF7 TCF
TCF7L1_1 TCF7L1 TCF
TCF7L1_2 TCF7L1 TCF
TCF7L2_1 TCF7L2 TCF
TCF7L2_2 TCF7L2 TCF
TCF7L2_disc1 TCF7L2 TCF
TCF7L2_disc2 TCF7L2 TCF
TEAD1_1 TEAD1 TEAD
TEAD1_2 TEAD1 TEAD
TEAD1_3 TEAD1 TEAD
TEAD1_4 TEAD1 TEAD
TEAD2_1 TEAD2 TEAD
TEAD3_1 TEAD3 TEAD
TEAD3_2 TEAD3 TEAD
TEAD4_1 TEAD4 TEAD
TEF_1 TEF TEF
TEF_2 TEF TEF
TEF_3 TEF TEF
TFAP2_1 TFAP2 TFAP
TFAP2_2 TFAP2 TFAP
TFAP2_3 TFAP2 TFAP
TFAP2_disc1 TFAP2 TFAP
TFAP2_disc2 TFAP2 TFAP
TFAP2A_1 TFAP2A TFAP
TFAP2A_10 TFAP2A TFAP
TFAP2A_11 TFAP2A TFAP
TFAP2A_2 TFAP2A TFAP
TFAP2A_3 TFAP2A TFAP
TFAP2A_4 TFAP2A TFAP
TFAP2A_5 TFAP2A TFAP
TFAP2A_6 TFAP2A TFAP
TFAP2A_7 TFAP2A TFAP
TFAP2A_8 TFAP2A TFAP
TFAP2A_9 TFAP2A TFAP
TFAP2B_1 TFAP2B TFAP
TFAP2B_2 TFAP2B TFAP
TFAP2B_3 TFAP2B TFAP
TFAP2B_4 TFAP2B TFAP
TFAP2C_1 TFAP2C TFAP
TFAP2C_2 TFAP2C TFAP
TFAP2C_3 TFAP2C TFAP
TFAP2C_4 TFAP2C TFAP
TFAP2C_5 TFAP2C TFAP
TFAP2C_6 TFAP2C TFAP
TFAP2C_7 TFAP2C TFAP
TFAP2C_8 TFAP2C TFAP
TFAP2E_1 TFAP2E TFAP
TFAP4_1 TFAP4 TFAP
TFAP4_2 TFAP4 TFAP
TFAP4_3 TFAP4 TFAP
TFAP4_4 TFAP4 TFAP
TFAP4_5 TFAP4 TFAP
TFAP4_6 TFAP4 TFAP
TFCP2_1 TFCP2 TFCP2
TFCP2_2 TFCP2 TFCP2
TFCP2_3 TFCP2 TFCP2
TFCP2_4 TFCP2 TFCP2
TFCP2_5 TFCP2 TFCP2
TFCP2L1_1 TFCP2L1 TFCP2
TFE_1 TFE TFE
TFE3_1 TFE3 TFE
TFEB_1 TFEB TFE
TFEC_1 TFEC TFE
TGIF1_1 TGIF1 TGIF
TGIF1_2 TGIF1 TGIF
TGIF1_3 TGIF1 TGIF
TGIF2_1 TGIF2 TGIF
TGIF2_2 TGIF2 TGIF
TGIF2LX_1 TGIF2LX TGIF2LX
THAP1_disc1 THAP1 THAP1
THAP1_disc2 THAP1 THAP1
THRA_1 THRA THRA
THRB_1 THRB THR
THRB_2 THRB THR
THRB_3 THRB THR
TLX2_1 TLX2 TLX2
TLX2_2 TLX2 TLX2
TOPORS_1 TOPORS TOPORS
TP53_1 TP53 TP
TP53_2 TP53 TP
TP53_3 TP53 TP
TP53_4 TP53 TP
TP53_5 TP53 TP
TP53_6 TP53 TP
TP53_7 TP53 TP
TP63_1 TP63 TP
TP73_1 TP73 TP
TRIM28_disc1 TRIM28 TRIM28
TRIM28_disc2 TRIM28 TRIM28
UNCX_1 UNCX UNCX
UNCX_2 UNCX UNCX
UNCX_3 UNCX UNCX
UNCX_4 UNCX UNCX
UNCX_5 UNCX UNCX
USF_1 USF USF
USF_2 USF USF
USF_3 USF USF
USF_4 USF USF
USF_5 USF USF
USF1_1 USF1 USF
USF1_2 USF1 USF
USF2_1 USF2 USF
VAX1_1 VAX1 VAX
VAX1_2 VAX1 VAX
VAX2_1 VAX2 VAX
VAX2_2 VAX2 VAX
VDR_1 VDR VDR
VDR_2 VDR VDR
VDR_3 VDR VDR
VDR_4 VDR VDR
VDR_5 VDR VDR
VDR_6 VDR VDR
VENTX_1 VENTX VENTX
VENTX_2 VENTX VENTX
VSX1_1 VSX1 VSX
VSX1_2 VSX1 VSX
VSX1_3 VSX1 VSX
VSX1_4 VSX1 VSX
VSX2_1 VSX2 VSX
VSX2_2 VSX2 VSX
WT1_1 WT1 WT1
XBP1_1 XBP1 XBP1
XBP1_2 XBP1 XBP1
XBP1_3 XBP1 XBP1
XBP1_4 XBP1 XBP1
YY1_1 YY1 YY
YY1_2 YY1 YY
YY1_3 YY1 YY
YY1_4 YY1 YY
YY1_5 YY1 YY
YY1_6 YY1 YY
YY1_7 YY1 YY
YY1_disc1 YY1 YY
YY1_disc2 YY1 YY
YY1_disc3 YY1 YY
YY1_disc4 YY1 YY
YY1_disc5 YY1 YY
YY2_1 YY2 YY
YY2_2 YY2 YY
ZBED1_1 ZBED1 ZBED1
ZBTB12_1 ZBTB12 ZBTB
ZBTB14_1 ZBTB14 ZBTB
ZBTB14_2 ZBTB14 ZBTB
ZBTB14_3 ZBTB14 ZBTB
ZBTB16_1 ZBTB16 ZBTB
ZBTB18_1 ZBTB18 ZBTB
ZBTB18_2 ZBTB18 ZBTB
ZBTB18_3 ZBTB18 ZBTB
ZBTB3_1 ZBTB3 ZBTB
ZBTB33_1 ZBTB33 ZBTB
ZBTB33_disc1 ZBTB33 ZBTB
ZBTB33_disc2 ZBTB33 ZBTB
ZBTB33_disc3 ZBTB33 ZBTB
ZBTB33_disc4 ZBTB33 ZBTB
ZBTB49_1 ZBTB49 ZBTB
ZBTB6_1 ZBTB6 ZBTB
ZBTB7A_1 ZBTB7A ZBTB
ZBTB7A_2 ZBTB7A ZBTB
ZBTB7A_disc1 ZBTB7A ZBTB
ZBTB7A_disc2 ZBTB7A ZBTB
ZBTB7B_1 ZBTB7B ZBTB
ZBTB7B_2 ZBTB7B ZBTB
ZBTB7C_1 ZBTB7C ZBTB
ZEB1_1 ZEB1 ZEB1
ZEB1_2 ZEB1 ZEB1
ZEB1_3 ZEB1 ZEB1
ZEB1_4 ZEB1 ZEB1
ZEB1_5 ZEB1 ZEB1
ZEB1_disc1 ZEB1 ZEB1
ZFX_1 ZFX ZFX
ZIC1_1 ZIC1 ZIC
ZIC1_2 ZIC1 ZIC
ZIC1_3 ZIC1 ZIC
ZIC2_1 ZIC2 ZIC
ZIC2_2 ZIC2 ZIC
ZIC3_1 ZIC3 ZIC
ZIC3_2 ZIC3 ZIC
ZIC3_3 ZIC3 ZIC
ZIC3_4 ZIC3 ZIC
ZIC4_1 ZIC4 ZIC
ZKSCAN3_1 ZKSCAN3 ZKSCAN3
ZNF143_1 ZNF143 ZNF
ZNF143_2 ZNF143 ZNF
ZNF143_disc1 ZNF143 ZNF
ZNF143_disc2 ZNF143 ZNF
ZNF143_disc3 ZNF143 ZNF
ZNF143_disc4 ZNF143 ZNF
ZNF219_1 ZNF219 ZNF
ZNF232_1 ZNF232 ZNF
ZNF263_disc1 ZNF263 ZNF
ZNF281_1 ZNF281 ZNF
ZNF282_1 ZNF282 ZNF
ZNF35_1 ZNF35 ZNF
ZNF350_1 ZNF350 ZNF
ZNF354C_1 ZNF354C ZNF
ZNF384_1 ZNF384 ZNF
ZNF410_1 ZNF410 ZNF
ZNF410_2 ZNF410 ZNF
ZNF423_1 ZNF423 ZNF
ZNF423_2 ZNF423 ZNF
ZNF524_1 ZNF524 ZNF
ZNF524_2 ZNF524 ZNF
ZNF589_1 ZNF589 ZNF
ZNF628_1 ZNF628 ZNF
ZNF652_1 ZNF652 ZNF
ZNF691_1 ZNF691 ZNF
ZNF713_1 ZNF713 ZNF
ZNF740_1 ZNF740 ZNF
ZNF740_2 ZNF740 ZNF
ZNF740_3 ZNF740 ZNF
ZNF740_4 ZNF740 ZNF
ZNF75A_1 ZNF75A ZNF
ZNF784_1 ZNF784 ZNF
ZNF8_1 ZNF8 ZNF
ZSCAN16_1 ZSCAN16 ZSCAN
ZSCAN26_1 ZSCAN26 ZSCAN
ZSCAN4_1 ZSCAN4 ZSCAN
ZSCAN4_2 ZSCAN4 ZSCAN
ZSCAN4_3 ZSCAN4 ZSCAN
